Voltage,ADC Buffer Value,Time
2.625,896.0,7.347094535827637
2.625,896.0,7.367141485214233
2.61328125,892.0,7.387084484100342
2.625,896.0,7.407019138336182
2.625,896.0,7.426023244857788
2.625,896.0,7.446603536605835
2.625,896.0,7.4662604331970215
2.6162109375,893.0,7.486205816268921
2.625,896.0,7.506125211715698
2.625,896.0,7.526543855667114
2.61328125,892.0,7.546443939208984
2.625,896.0,7.566403388977051
2.625,896.0,7.586292505264282
2.625,896.0,7.6062376499176025
2.625,896.0,7.62591552734375
2.625,896.0,7.645367622375488
2.61328125,892.0,7.665990352630615
2.625,896.0,7.685213804244995
2.61328125,892.0,7.705674886703491
2.625,896.0,7.725776433944702
2.625,896.0,7.745780944824219
2.625,896.0,7.765151023864746
2.625,896.0,7.785155296325684
2.625,896.0,7.805417060852051
2.625,896.0,7.824420690536499
2.625,896.0,7.84456729888916
2.625,896.0,7.864416837692261
2.625,896.0,7.8845484256744385
2.625,896.0,7.904303073883057
2.61328125,892.0,7.924530506134033
2.625,896.0,7.9447338581085205
2.625,896.0,7.9641194343566895
2.61328125,892.0,7.9845945835113525
2.61328125,892.0,8.004313945770264
2.61328125,892.0,8.0241117477417
2.625,896.0,8.044085025787354
2.61328125,892.0,8.06401515007019
2.625,896.0,8.084291219711304
2.625,896.0,8.104278087615967
2.625,896.0,8.124167442321777
2.625,896.0,8.1432785987854
2.625,896.0,8.16344666481018
2.61328125,892.0,8.183395624160767
2.61328125,892.0,8.20412015914917
2.625,896.0,8.222739219665527
2.61328125,892.0,8.243444204330444
2.625,896.0,8.262630224227905
2.6162109375,893.0,8.283535242080688
2.625,896.0,8.303303241729736
2.61328125,892.0,8.323066234588623
2.625,896.0,8.343161344528198
2.61328125,892.0,8.36321496963501
2.625,896.0,8.38261079788208
2.625,896.0,8.402866840362549
2.61328125,892.0,8.42261004447937
2.625,896.0,8.442599296569824
2.625,896.0,8.462826013565063
2.625,896.0,8.482240200042725
2.625,896.0,8.502787113189697
2.625,896.0,8.522076845169067
2.625,896.0,8.541943311691284
2.61328125,892.0,8.562202215194702
2.625,896.0,8.581953048706055
2.625,896.0,8.602064371109009
2.6162109375,893.0,8.62212586402893
2.61328125,892.0,8.642149448394775
2.625,896.0,8.662052869796753
2.625,896.0,8.681945085525513
2.625,896.0,8.701702356338501
2.61328125,892.0,8.721800088882446
2.625,896.0,8.741544961929321
2.625,896.0,8.76078724861145
2.625,896.0,8.781102895736694
2.625,896.0,8.80064868927002
2.625,896.0,8.821423053741455
2.61328125,892.0,8.841163873672485
2.61328125,892.0,8.86121153831482
2.61328125,892.0,8.880992412567139
2.625,896.0,8.901093482971191
2.625,896.0,8.920356750488281
2.61328125,892.0,8.940833568572998
2.61328125,892.0,8.960279703140259
2.625,896.0,8.980625867843628
2.625,896.0,9.000496625900269
2.625,896.0,9.020600318908691
2.61328125,892.0,9.039645671844482
2.61328125,892.0,9.060346603393555
2.625,896.0,9.080265522003174
2.625,896.0,9.10024380683899
2.625,896.0,9.11992597579956
2.625,896.0,9.139909505844116
2.625,896.0,9.16005253791809
2.625,896.0,9.17982029914856
2.61328125,892.0,9.199177265167236
2.625,896.0,9.219700813293457
2.625,896.0,9.239591598510742
2.61328125,892.0,9.259797811508179
2.61328125,892.0,9.279659509658813
2.625,896.0,9.29873275756836
2.61328125,892.0,9.319371938705444
2.61328125,892.0,9.338549613952637
2.625,896.0,9.359293937683105
2.625,896.0,9.378841638565063
2.61328125,892.0,9.398844003677368
2.6162109375,893.0,9.418875694274902
2.61328125,892.0,9.438971519470215
2.61328125,892.0,9.458690404891968
2.61328125,892.0,9.47844123840332
2.61328125,892.0,9.498206853866577
2.625,896.0,9.51773738861084
2.61328125,892.0,9.538310050964355
2.6162109375,893.0,9.557734966278076
2.625,896.0,9.577717542648315
2.625,896.0,9.59757113456726
2.625,896.0,9.617770433425903
2.625,896.0,9.637348890304565
2.625,896.0,9.657490968704224
2.625,896.0,9.677494287490845
2.625,896.0,9.697551250457764
2.625,896.0,9.717263221740723
2.625,896.0,9.737798929214478
2.625,896.0,9.757251024246216
2.625,896.0,9.777145147323608
2.625,896.0,9.797563076019287
2.6162109375,893.0,9.817360401153564
2.61328125,892.0,9.837213277816772
2.625,896.0,9.856893301010132
2.625,896.0,9.877208709716797
2.61328125,892.0,9.897066116333008
2.61328125,892.0,9.917070388793945
2.625,896.0,9.937026023864746
2.625,896.0,9.956510782241821
2.625,896.0,9.97649073600769
2.61328125,892.0,9.99647855758667
2.625,896.0,10.0167715549469
